BISON_DB,AIRFLOW,DIM_CPI_HISTORICAL,2025-04-24,historical_loaded
BISON_DB,AIRFLOW,DIM_STARTS_HISTORICAL,2025-04-24,historical_loaded
BISON_DB,AIRFLOW,DIM_SYNOPSES_HISTORICAL,2025-04-24,historical_loaded
BISON_DB,AIRFLOW,DIM_GROSSES_HISTORICAL,2025-04-24,historical_loaded
BISON_DB,AIRFLOW,AIRFLOW.STARTS,VIEW_REFRESH,refreshed
BISON_DB,AIRFLOW,AIRFLOW.STARTS,VIEW_REFRESH,refreshed
BISON_DB,AIRFLOW,AIRFLOW.CPI,VIEW_REFRESH,refreshed
BISON_DB,AIRFLOW,AIRFLOW.GROSSES,VIEW_REFRESH,refreshed
BISON_DB,AIRFLOW,AIRFLOW.SYNOPSES,VIEW_REFRESH,refreshed
BISON_DB,AIRFLOW,AIRFLOW.CPI,VIEW_REFRESH,refreshed
BISON_DB,AIRFLOW,AIRFLOW.SYNOPSES,VIEW_REFRESH,refreshed
BISON_DB,AIRFLOW,AIRFLOW.GROSSES,VIEW_REFRESH,refreshed
BISON_DB,AIRFLOW,STAGING_STARTS,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_SYNOPSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_GROSSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_CPI,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_STARTS,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_SYNOPSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_GROSSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_CPI,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_STARTS,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_SYNOPSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_CPI,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_GROSSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_STARTS,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_SYNOPSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_GROSSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_CPI,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_STARTS,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_SYNOPSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_GROSSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_CPI,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_STARTS,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_SYNOPSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_GROSSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_CPI,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_STARTS,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_SYNOPSES,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_CPI,2025-04-25,success
BISON_DB,AIRFLOW,STAGING_GROSSES,2025-04-25,success
